,Time,ETHUSDT,BUSDUSDT
127,2023-06-04 13:01:00,1902.26,0.9999
128,2023-06-04 13:02:00,1902.86,0.9999
129,2023-06-04 13:03:00,1903.01,0.9999
130,2023-06-04 13:04:00,1902.93,0.9998
131,2023-06-04 13:05:00,1902.86,0.9999
132,2023-06-04 13:06:00,1902.87,0.9998
133,2023-06-04 13:07:00,1903.08,0.9998
134,2023-06-04 13:08:00,1903.31,0.9999
135,2023-06-04 13:09:00,1903.34,0.9999
136,2023-06-04 13:10:00,1903.34,0.9998
137,2023-06-04 13:11:00,1903.54,0.9998
138,2023-06-04 13:12:00,1903.54,0.9999
139,2023-06-04 13:13:00,1903.52,0.9998
140,2023-06-04 13:14:00,1903.52,0.9999
141,2023-06-04 13:15:00,1903.3,0.9999
142,2023-06-04 13:16:00,1902.86,0.9999
143,2023-06-04 13:17:00,1902.85,0.9998
144,2023-06-04 13:18:00,1902.85,0.9998
145,2023-06-04 13:19:00,1902.86,0.9999
146,2023-06-04 13:20:00,1902.86,0.9999
147,2023-06-04 13:21:00,1902.85,0.9998
148,2023-06-04 13:22:00,1903.29,0.9999
149,2023-06-04 13:23:00,1903.29,0.9999
150,2023-06-04 13:24:00,1902.21,0.9998
151,2023-06-04 13:25:00,1902.21,0.9999
152,2023-06-04 13:26:00,1902.21,0.9999
153,2023-06-04 13:27:00,1901.59,0.9998
154,2023-06-04 13:28:00,1901.6,0.9998
155,2023-06-04 13:29:00,1901.8,0.9999
156,2023-06-04 13:30:00,1901.79,0.9998
157,2023-06-04 13:31:00,1901.41,0.9998
158,2023-06-04 13:32:00,1902.26,0.9999
159,2023-06-04 13:33:00,1902.6,0.9999
160,2023-06-04 13:34:00,1902.62,0.9998
161,2023-06-04 13:35:00,1904.04,0.9998
162,2023-06-04 13:36:00,1904.17,0.9998
163,2023-06-04 13:37:00,1904.16,0.9998
164,2023-06-04 13:38:00,1904.16,0.9999
165,2023-06-04 13:39:00,1903.98,0.9998
166,2023-06-04 13:40:00,1904.78,0.9998
167,2023-06-04 13:41:00,1904.49,0.9998
168,2023-06-04 13:42:00,1904.54,0.9999
169,2023-06-04 13:43:00,1904.6,0.9999
170,2023-06-04 13:44:00,1904.41,0.9998
171,2023-06-04 13:45:00,1904.56,0.9998
172,2023-06-04 13:46:00,1904.39,0.9999
173,2023-06-04 13:47:00,1904.37,0.9999
174,2023-06-04 13:48:00,1904.31,0.9999
175,2023-06-04 13:49:00,1904.3,0.9999
176,2023-06-04 13:50:00,1904.3,0.9998
177,2023-06-04 13:51:00,1904.31,0.9998
178,2023-06-04 13:52:00,1904.24,0.9998
179,2023-06-04 13:53:00,1904.2,0.9998
180,2023-06-04 13:54:00,1904.19,0.9998
181,2023-06-04 13:55:00,1904.2,0.9998
182,2023-06-04 13:56:00,1904.2,0.9999
183,2023-06-04 13:57:00,1904.23,0.9999
184,2023-06-04 13:58:00,1904.28,0.9999
185,2023-06-04 13:59:00,1904.43,0.9999
186,2023-06-04 14:00:00,1904.47,0.9998
187,2023-06-04 14:01:00,1904.48,0.9998
188,2023-06-04 14:02:00,1904.39,0.9998
189,2023-06-04 14:03:00,1904.39,0.9998
190,2023-06-04 14:04:00,1904.02,0.9998
191,2023-06-04 14:05:00,1903.77,0.9998
192,2023-06-04 14:06:00,1903.61,0.9998
193,2023-06-04 14:07:00,1903.94,0.9998
194,2023-06-04 14:08:00,1903.74,0.9998
195,2023-06-04 14:09:00,1903.73,0.9998
196,2023-06-04 14:10:00,1903.83,0.9999
197,2023-06-04 14:11:00,1903.82,0.9999
198,2023-06-04 14:12:00,1903.41,0.9998
