,Time,BTCUSDT,MDTUSDT
111,2023-06-04 12:27:00,27225.47,0.05297
112,2023-06-04 12:28:00,27224.79,0.05301
113,2023-06-04 12:29:00,27218.87,0.05301
114,2023-06-04 12:30:00,27223.13,0.05303
115,2023-06-04 12:31:00,27224.42,0.05303
116,2023-06-04 12:32:00,27224.66,0.05305
117,2023-06-04 12:33:00,27224.65,0.05305
118,2023-06-04 12:34:00,27224.66,0.05305
119,2023-06-04 12:35:00,27224.65,0.05295
120,2023-06-04 12:36:00,27222.39,0.0529
121,2023-06-04 12:37:00,27219.24,0.0529
122,2023-06-04 12:38:00,27217.21,0.05288
123,2023-06-04 12:39:00,27214.68,0.05293
124,2023-06-04 12:40:00,27205.16,0.05298
125,2023-06-04 12:41:00,27212.64,0.05293
126,2023-06-04 12:42:00,27216.67,0.05293
127,2023-06-04 12:43:00,27199.54,0.05293
128,2023-06-04 12:44:00,27200.49,0.05293
129,2023-06-04 12:45:00,27189.24,0.05293
130,2023-06-04 12:46:00,27199.99,0.05293
131,2023-06-04 12:47:00,27198.49,0.05294
132,2023-06-04 12:48:00,27199.52,0.05294
133,2023-06-04 12:49:00,27199.52,0.0529
134,2023-06-04 12:50:00,27195.31,0.05288
135,2023-06-04 12:51:00,27192.93,0.05293
136,2023-06-04 12:52:00,27193.97,0.05282
137,2023-06-04 12:53:00,27191.9,0.05288
138,2023-06-04 12:54:00,27184.82,0.0528
139,2023-06-04 12:55:00,27191.15,0.0528
140,2023-06-04 12:56:00,27195.85,0.05295
141,2023-06-04 12:57:00,27198.54,0.05295
142,2023-06-04 12:58:00,27198.54,0.05288
143,2023-06-04 12:59:00,27198.55,0.05288
144,2023-06-04 13:00:00,27188.16,0.05294
145,2023-06-04 13:01:00,27187.34,0.05289
146,2023-06-04 13:02:00,27193.7,0.05289
147,2023-06-04 13:03:00,27189.94,0.05289
148,2023-06-04 13:04:00,27177.1,0.05289
149,2023-06-04 13:05:00,27179.75,0.05289
150,2023-06-04 13:06:00,27181.21,0.05289
151,2023-06-04 13:07:00,27183.16,0.05289
152,2023-06-04 13:08:00,27193.03,0.05289
153,2023-06-04 13:09:00,27193.04,0.05289
154,2023-06-04 13:10:00,27193.29,0.0528
155,2023-06-04 13:11:00,27193.29,0.0528
156,2023-06-04 13:12:00,27193.29,0.05284
157,2023-06-04 13:13:00,27193.29,0.05264
158,2023-06-04 13:14:00,27194.39,0.05264
159,2023-06-04 13:15:00,27194.82,0.05268
160,2023-06-04 13:16:00,27189.11,0.0526
161,2023-06-04 13:17:00,27182.0,0.05258
162,2023-06-04 13:18:00,27180.67,0.05258
163,2023-06-04 13:19:00,27176.68,0.05258
164,2023-06-04 13:20:00,27183.87,0.05255
165,2023-06-04 13:21:00,27183.88,0.05253
166,2023-06-04 13:22:00,27189.33,0.05252
167,2023-06-04 13:23:00,27189.64,0.05252
168,2023-06-04 13:24:00,27181.07,0.05254
169,2023-06-04 13:25:00,27181.07,0.05246
170,2023-06-04 13:26:00,27179.03,0.05242
171,2023-06-04 13:27:00,27168.5,0.0524
172,2023-06-04 13:28:00,27160.11,0.05241
173,2023-06-04 13:29:00,27166.33,0.05241
174,2023-06-04 13:30:00,27166.78,0.05241
175,2023-06-04 13:31:00,27166.88,0.05206
176,2023-06-04 13:32:00,27178.2,0.05213
177,2023-06-04 13:33:00,27178.22,0.05215
178,2023-06-04 13:34:00,27178.21,0.05203
179,2023-06-04 13:35:00,27189.53,0.05213
