,Time,BTCUSDT,BNBUSDT
115,2023-06-04 12:28:00,27224.79,307.2
116,2023-06-04 12:29:00,27218.87,307.2
117,2023-06-04 12:30:00,27223.13,307.3
118,2023-06-04 12:31:00,27224.42,307.3
119,2023-06-04 12:32:00,27224.66,307.2
120,2023-06-04 12:33:00,27224.65,307.3
121,2023-06-04 12:34:00,27224.66,307.3
122,2023-06-04 12:35:00,27224.65,307.3
123,2023-06-04 12:36:00,27222.39,307.2
124,2023-06-04 12:37:00,27219.24,307.2
125,2023-06-04 12:38:00,27217.21,307.1
126,2023-06-04 12:39:00,27214.68,307.0
127,2023-06-04 12:40:00,27205.16,307.0
128,2023-06-04 12:41:00,27212.64,307.0
129,2023-06-04 12:42:00,27216.67,307.1
130,2023-06-04 12:43:00,27199.54,307.0
131,2023-06-04 12:44:00,27200.49,306.9
132,2023-06-04 12:45:00,27189.24,306.9
133,2023-06-04 12:46:00,27199.99,306.9
134,2023-06-04 12:47:00,27198.49,306.9
135,2023-06-04 12:48:00,27199.52,306.9
136,2023-06-04 12:49:00,27199.52,306.9
137,2023-06-04 12:50:00,27195.31,306.8
138,2023-06-04 12:51:00,27192.93,306.8
139,2023-06-04 12:52:00,27193.97,306.8
140,2023-06-04 12:53:00,27191.9,306.8
141,2023-06-04 12:54:00,27184.82,306.8
142,2023-06-04 12:55:00,27191.15,306.8
143,2023-06-04 12:56:00,27195.85,306.7
144,2023-06-04 12:57:00,27198.54,306.7
145,2023-06-04 12:58:00,27198.54,306.8
146,2023-06-04 12:59:00,27198.55,306.8
147,2023-06-04 13:00:00,27188.16,306.8
148,2023-06-04 13:01:00,27187.34,306.7
149,2023-06-04 13:02:00,27193.7,306.8
150,2023-06-04 13:03:00,27189.94,306.9
151,2023-06-04 13:04:00,27177.1,306.8
152,2023-06-04 13:05:00,27179.75,306.9
153,2023-06-04 13:06:00,27181.21,306.8
154,2023-06-04 13:07:00,27183.16,306.7
155,2023-06-04 13:08:00,27193.03,306.7
156,2023-06-04 13:09:00,27193.04,306.7
157,2023-06-04 13:10:00,27193.29,306.6
158,2023-06-04 13:11:00,27193.29,306.7
159,2023-06-04 13:12:00,27193.29,306.7
160,2023-06-04 13:13:00,27193.29,306.7
161,2023-06-04 13:14:00,27194.39,306.6
162,2023-06-04 13:15:00,27194.82,306.7
163,2023-06-04 13:16:00,27189.11,306.6
164,2023-06-04 13:17:00,27182.0,306.6
165,2023-06-04 13:18:00,27180.67,306.5
166,2023-06-04 13:19:00,27176.68,306.6
167,2023-06-04 13:20:00,27183.87,306.5
168,2023-06-04 13:21:00,27183.88,306.6
169,2023-06-04 13:22:00,27189.33,306.6
170,2023-06-04 13:23:00,27189.64,306.6
171,2023-06-04 13:24:00,27181.07,306.5
172,2023-06-04 13:25:00,27181.07,306.5
173,2023-06-04 13:26:00,27179.03,306.6
174,2023-06-04 13:27:00,27168.5,306.6
175,2023-06-04 13:28:00,27160.11,306.5
176,2023-06-04 13:29:00,27166.33,306.6
177,2023-06-04 13:30:00,27166.78,306.6
178,2023-06-04 13:31:00,27166.88,306.6
179,2023-06-04 13:32:00,27178.2,306.6
180,2023-06-04 13:33:00,27178.22,306.5
181,2023-06-04 13:34:00,27178.21,306.5
182,2023-06-04 13:35:00,27189.53,306.7
183,2023-06-04 13:36:00,27189.52,306.6
184,2023-06-04 13:37:00,27189.52,306.6
185,2023-06-04 13:38:00,27190.82,306.6
186,2023-06-04 13:39:00,27192.7,306.7
187,2023-06-04 13:40:00,27204.26,306.6
188,2023-06-04 13:41:00,27203.57,306.6
189,2023-06-04 13:42:00,27200.84,306.6
190,2023-06-04 13:43:00,27215.58,306.7
191,2023-06-04 13:44:00,27216.03,306.7
192,2023-06-04 13:45:00,27213.29,306.7
193,2023-06-04 13:46:00,27212.72,306.7
194,2023-06-04 13:47:00,27211.91,306.8
195,2023-06-04 13:48:00,27211.91,306.8
196,2023-06-04 13:49:00,27211.91,306.7
197,2023-06-04 13:50:00,27211.91,306.8
198,2023-06-04 13:51:00,27211.9,306.9
199,2023-06-04 13:52:00,27209.84,306.9
200,2023-06-04 13:53:00,27210.64,306.9
201,2023-06-04 13:54:00,27210.1,306.9
202,2023-06-04 13:55:00,27210.1,306.8
203,2023-06-04 13:56:00,27210.1,306.8
204,2023-06-04 13:57:00,27210.1,306.9
205,2023-06-04 13:58:00,27210.11,306.9
206,2023-06-04 13:59:00,27210.1,306.9
207,2023-06-04 14:00:00,27213.73,307.1
208,2023-06-04 14:01:00,27213.77,307.1
209,2023-06-04 14:02:00,27215.0,307.2
210,2023-06-04 14:03:00,27215.02,307.2
211,2023-06-04 14:04:00,27214.97,307.1
212,2023-06-04 14:05:00,27211.36,306.9
213,2023-06-04 14:06:00,27211.35,307.0
214,2023-06-04 14:07:00,27211.44,307.0
215,2023-06-04 14:08:00,27211.44,307.0
216,2023-06-04 14:09:00,27211.38,307.0
217,2023-06-04 14:10:00,27211.28,307.0
218,2023-06-04 14:11:00,27210.48,307.0
219,2023-06-04 14:12:00,27206.6,306.9
220,2023-06-04 14:13:00,27206.6,307.0
221,2023-06-04 14:14:00,27206.6,306.9
222,2023-06-04 14:15:00,27211.09,307.1
223,2023-06-04 14:16:00,27211.09,307.0
224,2023-06-04 14:17:00,27211.81,307.0
225,2023-06-04 14:18:00,27211.81,307.0
226,2023-06-04 14:19:00,27211.81,307.0
227,2023-06-04 14:20:00,27211.8,307.1
228,2023-06-04 14:21:00,27211.81,307.1
229,2023-06-04 14:22:00,27212.51,307.1
230,2023-06-04 14:23:00,27212.52,307.1
