,Time,BTCUSDT,COMPUSDT
132,2023-06-04 12:49:00,27199.52,35.74
133,2023-06-04 12:50:00,27195.31,35.74
134,2023-06-04 12:51:00,27192.93,35.74
135,2023-06-04 12:52:00,27193.97,35.74
136,2023-06-04 12:53:00,27191.9,35.74
137,2023-06-04 12:54:00,27184.82,35.75
138,2023-06-04 12:55:00,27191.15,35.75
139,2023-06-04 12:56:00,27195.85,35.76
140,2023-06-04 12:57:00,27198.54,35.77
141,2023-06-04 12:58:00,27198.54,35.79
142,2023-06-04 12:59:00,27198.55,35.79
143,2023-06-04 13:00:00,27188.16,35.77
144,2023-06-04 13:01:00,27187.34,35.77
145,2023-06-04 13:02:00,27193.7,35.76
146,2023-06-04 13:03:00,27189.94,35.77
147,2023-06-04 13:04:00,27177.1,35.79
148,2023-06-04 13:05:00,27179.75,35.79
149,2023-06-04 13:06:00,27181.21,35.79
150,2023-06-04 13:07:00,27183.16,35.78
151,2023-06-04 13:08:00,27193.03,35.79
152,2023-06-04 13:09:00,27193.04,35.79
153,2023-06-04 13:10:00,27193.29,35.79
154,2023-06-04 13:11:00,27193.29,35.8
155,2023-06-04 13:12:00,27193.29,35.8
156,2023-06-04 13:13:00,27193.29,35.81
157,2023-06-04 13:14:00,27194.39,35.86
158,2023-06-04 13:15:00,27194.82,35.85
159,2023-06-04 13:16:00,27189.11,35.85
160,2023-06-04 13:17:00,27182.0,35.85
161,2023-06-04 13:18:00,27180.67,35.85
162,2023-06-04 13:19:00,27176.68,35.85
163,2023-06-04 13:20:00,27183.87,35.84
164,2023-06-04 13:21:00,27183.88,35.84
165,2023-06-04 13:22:00,27189.33,35.8
166,2023-06-04 13:23:00,27189.64,35.8
167,2023-06-04 13:24:00,27181.07,35.77
168,2023-06-04 13:25:00,27181.07,35.79
169,2023-06-04 13:26:00,27179.03,35.79
170,2023-06-04 13:27:00,27168.5,35.79
171,2023-06-04 13:28:00,27160.11,35.7
172,2023-06-04 13:29:00,27166.33,35.67
173,2023-06-04 13:30:00,27166.78,35.67
174,2023-06-04 13:31:00,27166.88,35.7
175,2023-06-04 13:32:00,27178.2,35.7
176,2023-06-04 13:33:00,27178.22,35.71
177,2023-06-04 13:34:00,27178.21,35.71
178,2023-06-04 13:35:00,27189.53,35.72
179,2023-06-04 13:36:00,27189.52,35.73
180,2023-06-04 13:37:00,27189.52,35.73
181,2023-06-04 13:38:00,27190.82,35.73
182,2023-06-04 13:39:00,27192.7,35.73
183,2023-06-04 13:40:00,27204.26,35.73
184,2023-06-04 13:41:00,27203.57,35.74
185,2023-06-04 13:42:00,27200.84,35.74
186,2023-06-04 13:43:00,27215.58,35.74
187,2023-06-04 13:44:00,27216.03,35.77
188,2023-06-04 13:45:00,27213.29,35.77
189,2023-06-04 13:46:00,27212.72,35.77
190,2023-06-04 13:47:00,27211.91,35.77
191,2023-06-04 13:48:00,27211.91,35.77
192,2023-06-04 13:49:00,27211.91,35.77
193,2023-06-04 13:50:00,27211.91,35.77
194,2023-06-04 13:51:00,27211.9,35.77
195,2023-06-04 13:52:00,27209.84,35.77
196,2023-06-04 13:53:00,27210.64,35.76
197,2023-06-04 13:54:00,27210.1,35.78
198,2023-06-04 13:55:00,27210.1,35.78
199,2023-06-04 13:56:00,27210.1,35.79
200,2023-06-04 13:57:00,27210.1,35.79
201,2023-06-04 13:58:00,27210.11,35.79
202,2023-06-04 13:59:00,27210.1,35.79
203,2023-06-04 14:00:00,27213.73,35.79
204,2023-06-04 14:01:00,27213.77,35.81
205,2023-06-04 14:02:00,27215.0,35.79
206,2023-06-04 14:03:00,27215.02,35.79
207,2023-06-04 14:04:00,27214.97,35.79
208,2023-06-04 14:05:00,27211.36,35.79
209,2023-06-04 14:06:00,27211.35,35.79
210,2023-06-04 14:07:00,27211.44,35.79
211,2023-06-04 14:08:00,27211.44,35.77
212,2023-06-04 14:09:00,27211.38,35.77
213,2023-06-04 14:10:00,27211.28,35.77
214,2023-06-04 14:11:00,27210.48,35.77
215,2023-06-04 14:12:00,27206.6,35.77
216,2023-06-04 14:13:00,27206.6,35.77
217,2023-06-04 14:14:00,27206.6,35.75
218,2023-06-04 14:15:00,27211.09,35.75
219,2023-06-04 14:16:00,27211.09,35.75
220,2023-06-04 14:17:00,27211.81,35.73
221,2023-06-04 14:18:00,27211.81,35.73
222,2023-06-04 14:19:00,27211.81,35.73
223,2023-06-04 14:20:00,27211.8,35.72
224,2023-06-04 14:21:00,27211.81,35.72
225,2023-06-04 14:22:00,27212.51,35.72
226,2023-06-04 14:23:00,27212.52,35.72
227,2023-06-04 14:24:00,27218.0,35.73
228,2023-06-04 14:25:00,27225.99,35.75
229,2023-06-04 14:26:00,27222.01,35.72
230,2023-06-04 14:27:00,27218.45,35.7
231,2023-06-04 14:28:00,27219.81,35.7
232,2023-06-04 14:29:00,27222.55,35.7
233,2023-06-04 14:30:00,27227.9,35.71
234,2023-06-04 14:31:00,27227.9,35.75
235,2023-06-04 14:32:00,27218.46,35.74
236,2023-06-04 14:33:00,27220.56,35.74
237,2023-06-04 14:34:00,27220.56,35.73
238,2023-06-04 14:35:00,27220.55,35.72
239,2023-06-04 14:36:00,27228.59,35.74
240,2023-06-04 14:37:00,27231.48,35.74
241,2023-06-04 14:38:00,27231.48,35.73
242,2023-06-04 14:39:00,27231.28,35.73
243,2023-06-04 14:40:00,27231.39,35.74
244,2023-06-04 14:41:00,27243.09,35.74
245,2023-06-04 14:42:00,27250.59,35.74
246,2023-06-04 14:43:00,27251.59,35.74
247,2023-06-04 14:44:00,27253.83,35.74
248,2023-06-04 14:45:00,27253.15,35.74
249,2023-06-04 14:46:00,27240.11,35.74
250,2023-06-04 14:47:00,27239.31,35.75
251,2023-06-04 14:48:00,27246.12,35.75
252,2023-06-04 14:49:00,27240.92,35.74
253,2023-06-04 14:50:00,27243.89,35.74
254,2023-06-04 14:51:00,27243.88,35.75
255,2023-06-04 14:52:00,27266.21,35.77
256,2023-06-04 14:53:00,27265.31,35.77
257,2023-06-04 14:54:00,27289.78,35.79
258,2023-06-04 14:55:00,27271.56,35.78
259,2023-06-04 14:56:00,27264.45,35.76
260,2023-06-04 14:57:00,27266.25,35.79
261,2023-06-04 14:58:00,27260.23,35.79
262,2023-06-04 14:59:00,27245.46,35.77
263,2023-06-04 15:00:00,27235.81,35.74
264,2023-06-04 15:01:00,27229.8,35.73
265,2023-06-04 15:02:00,27220.02,35.73
266,2023-06-04 15:03:00,27206.21,35.72
267,2023-06-04 15:04:00,27183.11,35.69
268,2023-06-04 15:05:00,27198.4,35.69
269,2023-06-04 15:06:00,27201.35,35.71
270,2023-06-04 15:07:00,27204.21,35.71
271,2023-06-04 15:08:00,27197.22,35.71
272,2023-06-04 15:09:00,27203.28,35.71
273,2023-06-04 15:10:00,27203.26,35.71
274,2023-06-04 15:11:00,27213.98,35.7
275,2023-06-04 15:12:00,27202.74,35.7
276,2023-06-04 15:13:00,27215.67,35.7
277,2023-06-04 15:14:00,27217.6,35.71
278,2023-06-04 15:15:00,27216.87,35.71
279,2023-06-04 15:16:00,27211.75,35.71
280,2023-06-04 15:17:00,27215.35,35.71
281,2023-06-04 15:18:00,27218.46,35.71
282,2023-06-04 15:19:00,27217.6,35.71
283,2023-06-04 15:20:00,27223.37,35.72
284,2023-06-04 15:21:00,27227.85,35.72
285,2023-06-04 15:22:00,27229.5,35.72
286,2023-06-04 15:23:00,27236.54,35.75
287,2023-06-04 15:24:00,27230.01,35.75
288,2023-06-04 15:25:00,27228.43,35.76
289,2023-06-04 15:26:00,27216.3,35.75
290,2023-06-04 15:27:00,27201.61,35.73
291,2023-06-04 15:28:00,27191.73,35.71
292,2023-06-04 15:29:00,27192.73,35.71
293,2023-06-04 15:30:00,27189.35,35.72
294,2023-06-04 15:31:00,27186.48,35.65
295,2023-06-04 15:32:00,27172.0,35.65
296,2023-06-04 15:33:00,27196.46,35.67
297,2023-06-04 15:34:00,27202.31,35.7
298,2023-06-04 15:35:00,27214.83,35.71
299,2023-06-04 15:36:00,27221.36,35.71
300,2023-06-04 15:37:00,27221.99,35.71
301,2023-06-04 15:38:00,27246.44,35.74
302,2023-06-04 15:39:00,27244.73,35.77
303,2023-06-04 15:40:00,27232.32,35.75
304,2023-06-04 15:41:00,27230.79,35.76
305,2023-06-04 15:42:00,27234.21,35.74
306,2023-06-04 15:43:00,27233.0,35.74
307,2023-06-04 15:44:00,27232.99,35.74
308,2023-06-04 15:45:00,27234.05,35.75
309,2023-06-04 15:46:00,27256.02,35.77
310,2023-06-04 15:47:00,27256.97,35.76
311,2023-06-04 15:48:00,27256.43,35.75
312,2023-06-04 15:49:00,27257.4,35.74
313,2023-06-04 15:50:00,27255.94,35.75
314,2023-06-04 15:51:00,27249.43,35.73
315,2023-06-04 15:52:00,27244.07,35.72
316,2023-06-04 15:53:00,27243.27,35.73
317,2023-06-04 15:54:00,27250.23,35.73
318,2023-06-04 15:55:00,27258.92,35.74
319,2023-06-04 15:56:00,27242.0,35.72
320,2023-06-04 15:57:00,27236.6,35.71
321,2023-06-04 15:58:00,27236.53,35.72
322,2023-06-04 15:59:00,27234.2,35.71
323,2023-06-04 16:00:00,27241.7,35.71
324,2023-06-04 16:01:00,27241.7,35.74
325,2023-06-04 16:02:00,27244.57,35.74
326,2023-06-04 16:03:00,27240.68,35.74
327,2023-06-04 16:04:00,27239.66,35.74
328,2023-06-04 16:05:00,27236.0,35.74
329,2023-06-04 16:06:00,27239.13,35.74
330,2023-06-04 16:07:00,27239.12,35.74
331,2023-06-04 16:08:00,27233.87,35.72
332,2023-06-04 16:09:00,27222.16,35.7
333,2023-06-04 16:10:00,27222.16,35.7
334,2023-06-04 16:11:00,27207.73,35.7
335,2023-06-04 16:12:00,27205.18,35.7
336,2023-06-04 16:13:00,27200.0,35.7
337,2023-06-04 16:14:00,27197.79,35.7
338,2023-06-04 16:15:00,27201.9,35.71
339,2023-06-04 16:16:00,27198.86,35.71
340,2023-06-04 16:17:00,27198.75,35.7
341,2023-06-04 16:18:00,27203.01,35.66
342,2023-06-04 16:19:00,27207.1,35.69
343,2023-06-04 16:20:00,27216.49,35.69
344,2023-06-04 16:21:00,27206.16,35.67
345,2023-06-04 16:22:00,27200.0,35.67
346,2023-06-04 16:23:00,27203.61,35.67
347,2023-06-04 16:24:00,27194.01,35.62
348,2023-06-04 16:25:00,27194.43,35.6
349,2023-06-04 16:26:00,27199.99,35.63
350,2023-06-04 16:27:00,27201.1,35.62
351,2023-06-04 16:28:00,27207.74,35.63
352,2023-06-04 16:29:00,27208.94,35.63
353,2023-06-04 16:30:00,27214.09,35.62
354,2023-06-04 16:31:00,27221.02,35.66
355,2023-06-04 16:32:00,27207.9,35.64
356,2023-06-04 16:33:00,27204.6,35.66
357,2023-06-04 16:34:00,27196.24,35.63
358,2023-06-04 16:35:00,27192.88,35.6
359,2023-06-04 16:36:00,27192.87,35.6
360,2023-06-04 16:37:00,27200.22,35.62
361,2023-06-04 16:38:00,27203.7,35.62
362,2023-06-04 16:39:00,27201.8,35.62
363,2023-06-04 16:40:00,27203.79,35.63
364,2023-06-04 16:41:00,27204.97,35.63
365,2023-06-04 16:42:00,27205.14,35.64
366,2023-06-04 16:43:00,27200.92,35.63
