,Time,ETHUSDT,BNBUSDT
115,2023-06-04 12:48:00,1903.34,306.9
116,2023-06-04 12:49:00,1903.33,306.9
117,2023-06-04 12:50:00,1903.34,306.8
118,2023-06-04 12:51:00,1902.59,306.8
119,2023-06-04 12:52:00,1902.66,306.8
120,2023-06-04 12:53:00,1902.85,306.8
121,2023-06-04 12:54:00,1902.59,306.8
122,2023-06-04 12:55:00,1902.68,306.8
123,2023-06-04 12:56:00,1902.92,306.7
124,2023-06-04 12:57:00,1902.78,306.7
125,2023-06-04 12:58:00,1902.92,306.8
126,2023-06-04 12:59:00,1903.08,306.8
127,2023-06-04 13:00:00,1902.34,306.8
128,2023-06-04 13:01:00,1902.26,306.7
129,2023-06-04 13:02:00,1902.86,306.8
130,2023-06-04 13:03:00,1903.01,306.9
131,2023-06-04 13:04:00,1902.93,306.8
132,2023-06-04 13:05:00,1902.86,306.9
133,2023-06-04 13:06:00,1902.87,306.8
134,2023-06-04 13:07:00,1903.08,306.7
135,2023-06-04 13:08:00,1903.31,306.7
136,2023-06-04 13:09:00,1903.34,306.7
137,2023-06-04 13:10:00,1903.34,306.6
138,2023-06-04 13:11:00,1903.54,306.7
139,2023-06-04 13:12:00,1903.54,306.7
140,2023-06-04 13:13:00,1903.52,306.7
141,2023-06-04 13:14:00,1903.52,306.6
142,2023-06-04 13:15:00,1903.3,306.7
143,2023-06-04 13:16:00,1902.86,306.6
144,2023-06-04 13:17:00,1902.85,306.6
145,2023-06-04 13:18:00,1902.85,306.5
146,2023-06-04 13:19:00,1902.86,306.6
147,2023-06-04 13:20:00,1902.86,306.5
148,2023-06-04 13:21:00,1902.85,306.6
149,2023-06-04 13:22:00,1903.29,306.6
150,2023-06-04 13:23:00,1903.29,306.6
151,2023-06-04 13:24:00,1902.21,306.5
152,2023-06-04 13:25:00,1902.21,306.5
153,2023-06-04 13:26:00,1902.21,306.6
154,2023-06-04 13:27:00,1901.59,306.6
155,2023-06-04 13:28:00,1901.6,306.5
156,2023-06-04 13:29:00,1901.8,306.6
157,2023-06-04 13:30:00,1901.79,306.6
158,2023-06-04 13:31:00,1901.41,306.6
159,2023-06-04 13:32:00,1902.26,306.6
160,2023-06-04 13:33:00,1902.6,306.5
161,2023-06-04 13:34:00,1902.62,306.5
162,2023-06-04 13:35:00,1904.04,306.7
163,2023-06-04 13:36:00,1904.17,306.6
164,2023-06-04 13:37:00,1904.16,306.6
165,2023-06-04 13:38:00,1904.16,306.6
166,2023-06-04 13:39:00,1903.98,306.7
167,2023-06-04 13:40:00,1904.78,306.6
168,2023-06-04 13:41:00,1904.49,306.6
169,2023-06-04 13:42:00,1904.54,306.6
170,2023-06-04 13:43:00,1904.6,306.7
171,2023-06-04 13:44:00,1904.41,306.7
172,2023-06-04 13:45:00,1904.56,306.7
173,2023-06-04 13:46:00,1904.39,306.7
174,2023-06-04 13:47:00,1904.37,306.8
175,2023-06-04 13:48:00,1904.31,306.8
176,2023-06-04 13:49:00,1904.3,306.7
177,2023-06-04 13:50:00,1904.3,306.8
178,2023-06-04 13:51:00,1904.31,306.9
179,2023-06-04 13:52:00,1904.24,306.9
180,2023-06-04 13:53:00,1904.2,306.9
181,2023-06-04 13:54:00,1904.19,306.9
182,2023-06-04 13:55:00,1904.2,306.8
183,2023-06-04 13:56:00,1904.2,306.8
184,2023-06-04 13:57:00,1904.23,306.9
185,2023-06-04 13:58:00,1904.28,306.9
186,2023-06-04 13:59:00,1904.43,306.9
187,2023-06-04 14:00:00,1904.47,307.1
188,2023-06-04 14:01:00,1904.48,307.1
189,2023-06-04 14:02:00,1904.39,307.2
190,2023-06-04 14:03:00,1904.39,307.2
191,2023-06-04 14:04:00,1904.02,307.1
192,2023-06-04 14:05:00,1903.77,306.9
193,2023-06-04 14:06:00,1903.61,307.0
194,2023-06-04 14:07:00,1903.94,307.0
195,2023-06-04 14:08:00,1903.74,307.0
196,2023-06-04 14:09:00,1903.73,307.0
197,2023-06-04 14:10:00,1903.83,307.0
198,2023-06-04 14:11:00,1903.82,307.0
199,2023-06-04 14:12:00,1903.41,306.9
200,2023-06-04 14:13:00,1903.41,307.0
201,2023-06-04 14:14:00,1903.41,306.9
202,2023-06-04 14:15:00,1903.75,307.1
203,2023-06-04 14:16:00,1903.75,307.0
204,2023-06-04 14:17:00,1903.65,307.0
205,2023-06-04 14:18:00,1903.62,307.0
206,2023-06-04 14:19:00,1903.58,307.0
207,2023-06-04 14:20:00,1903.5,307.1
208,2023-06-04 14:21:00,1903.45,307.1
