,Time,ETHUSDT,MDTUSDT
111,2023-06-04 12:47:00,1903.34,0.05294
112,2023-06-04 12:48:00,1903.34,0.05294
113,2023-06-04 12:49:00,1903.33,0.0529
114,2023-06-04 12:50:00,1903.34,0.05288
115,2023-06-04 12:51:00,1902.59,0.05293
116,2023-06-04 12:52:00,1902.66,0.05282
117,2023-06-04 12:53:00,1902.85,0.05288
118,2023-06-04 12:54:00,1902.59,0.0528
119,2023-06-04 12:55:00,1902.68,0.0528
120,2023-06-04 12:56:00,1902.92,0.05295
121,2023-06-04 12:57:00,1902.78,0.05295
122,2023-06-04 12:58:00,1902.92,0.05288
123,2023-06-04 12:59:00,1903.08,0.05288
124,2023-06-04 13:00:00,1902.34,0.05294
125,2023-06-04 13:01:00,1902.26,0.05289
126,2023-06-04 13:02:00,1902.86,0.05289
127,2023-06-04 13:03:00,1903.01,0.05289
128,2023-06-04 13:04:00,1902.93,0.05289
129,2023-06-04 13:05:00,1902.86,0.05289
130,2023-06-04 13:06:00,1902.87,0.05289
131,2023-06-04 13:07:00,1903.08,0.05289
132,2023-06-04 13:08:00,1903.31,0.05289
133,2023-06-04 13:09:00,1903.34,0.05289
134,2023-06-04 13:10:00,1903.34,0.0528
135,2023-06-04 13:11:00,1903.54,0.0528
136,2023-06-04 13:12:00,1903.54,0.05284
137,2023-06-04 13:13:00,1903.52,0.05264
138,2023-06-04 13:14:00,1903.52,0.05264
139,2023-06-04 13:15:00,1903.3,0.05268
140,2023-06-04 13:16:00,1902.86,0.0526
141,2023-06-04 13:17:00,1902.85,0.05258
142,2023-06-04 13:18:00,1902.85,0.05258
143,2023-06-04 13:19:00,1902.86,0.05258
144,2023-06-04 13:20:00,1902.86,0.05255
145,2023-06-04 13:21:00,1902.85,0.05253
146,2023-06-04 13:22:00,1903.29,0.05252
147,2023-06-04 13:23:00,1903.29,0.05252
148,2023-06-04 13:24:00,1902.21,0.05254
149,2023-06-04 13:25:00,1902.21,0.05246
150,2023-06-04 13:26:00,1902.21,0.05242
151,2023-06-04 13:27:00,1901.59,0.0524
152,2023-06-04 13:28:00,1901.6,0.05241
153,2023-06-04 13:29:00,1901.8,0.05241
154,2023-06-04 13:30:00,1901.79,0.05241
155,2023-06-04 13:31:00,1901.41,0.05206
156,2023-06-04 13:32:00,1902.26,0.05213
157,2023-06-04 13:33:00,1902.6,0.05215
158,2023-06-04 13:34:00,1902.62,0.05203
159,2023-06-04 13:35:00,1904.04,0.05213
160,2023-06-04 13:36:00,1904.17,0.05205
161,2023-06-04 13:37:00,1904.16,0.05202
162,2023-06-04 13:38:00,1904.16,0.05198
163,2023-06-04 13:39:00,1903.98,0.05204
164,2023-06-04 13:40:00,1904.78,0.05204
165,2023-06-04 13:41:00,1904.49,0.05209
166,2023-06-04 13:42:00,1904.54,0.0521
167,2023-06-04 13:43:00,1904.6,0.05213
168,2023-06-04 13:44:00,1904.41,0.0521
169,2023-06-04 13:45:00,1904.56,0.05211
170,2023-06-04 13:46:00,1904.39,0.05205
171,2023-06-04 13:47:00,1904.37,0.05206
172,2023-06-04 13:48:00,1904.31,0.05199
173,2023-06-04 13:49:00,1904.3,0.05197
174,2023-06-04 13:50:00,1904.3,0.05202
175,2023-06-04 13:51:00,1904.31,0.05204
176,2023-06-04 13:52:00,1904.24,0.05207
177,2023-06-04 13:53:00,1904.2,0.05201
178,2023-06-04 13:54:00,1904.19,0.05205
179,2023-06-04 13:55:00,1904.2,0.05205
180,2023-06-04 13:56:00,1904.2,0.05209
181,2023-06-04 13:57:00,1904.23,0.05213
182,2023-06-04 13:58:00,1904.28,0.05211
183,2023-06-04 13:59:00,1904.43,0.05213
184,2023-06-04 14:00:00,1904.47,0.05209
185,2023-06-04 14:01:00,1904.48,0.05199
186,2023-06-04 14:02:00,1904.39,0.05193
187,2023-06-04 14:03:00,1904.39,0.05205
188,2023-06-04 14:04:00,1904.02,0.05203
189,2023-06-04 14:05:00,1903.77,0.05204
190,2023-06-04 14:06:00,1903.61,0.05212
191,2023-06-04 14:07:00,1903.94,0.05202
192,2023-06-04 14:08:00,1903.74,0.05213
193,2023-06-04 14:09:00,1903.73,0.05205
194,2023-06-04 14:10:00,1903.83,0.05203
195,2023-06-04 14:11:00,1903.82,0.05203
196,2023-06-04 14:12:00,1903.41,0.05208
197,2023-06-04 14:13:00,1903.41,0.05207
198,2023-06-04 14:14:00,1903.41,0.05207
199,2023-06-04 14:15:00,1903.75,0.05204
200,2023-06-04 14:16:00,1903.75,0.05195
201,2023-06-04 14:17:00,1903.65,0.05197
202,2023-06-04 14:18:00,1903.62,0.05197
203,2023-06-04 14:19:00,1903.58,0.05195
204,2023-06-04 14:20:00,1903.5,0.05194
205,2023-06-04 14:21:00,1903.45,0.05196
206,2023-06-04 14:22:00,1903.43,0.05189
207,2023-06-04 14:23:00,1903.21,0.05192
208,2023-06-04 14:24:00,1905.01,0.05195
209,2023-06-04 14:25:00,1905.25,0.05195
210,2023-06-04 14:26:00,1904.46,0.05195
211,2023-06-04 14:27:00,1904.27,0.05195
212,2023-06-04 14:28:00,1904.48,0.052
213,2023-06-04 14:29:00,1904.51,0.052
