,Time,BTCUSDT,BUSDUSDT
111,2023-06-04 12:25:00,27227.08,0.9998
112,2023-06-04 12:26:00,27225.68,0.9998
113,2023-06-04 12:27:00,27225.47,0.9998
114,2023-06-04 12:28:00,27224.79,0.9999
115,2023-06-04 12:29:00,27218.87,0.9999
116,2023-06-04 12:30:00,27223.13,0.9998
117,2023-06-04 12:31:00,27224.42,0.9999
118,2023-06-04 12:32:00,27224.66,0.9998
119,2023-06-04 12:33:00,27224.65,0.9999
120,2023-06-04 12:34:00,27224.66,0.9999
121,2023-06-04 12:35:00,27224.65,0.9998
122,2023-06-04 12:36:00,27222.39,0.9998
123,2023-06-04 12:37:00,27219.24,0.9998
124,2023-06-04 12:38:00,27217.21,0.9999
125,2023-06-04 12:39:00,27214.68,0.9998
126,2023-06-04 12:40:00,27205.16,0.9998
127,2023-06-04 12:41:00,27212.64,0.9998
128,2023-06-04 12:42:00,27216.67,0.9999
129,2023-06-04 12:43:00,27199.54,0.9998
130,2023-06-04 12:44:00,27200.49,0.9998
131,2023-06-04 12:45:00,27189.24,0.9998
132,2023-06-04 12:46:00,27199.99,0.9998
133,2023-06-04 12:47:00,27198.49,0.9999
134,2023-06-04 12:48:00,27199.52,0.9999
135,2023-06-04 12:49:00,27199.52,0.9998
136,2023-06-04 12:50:00,27195.31,0.9998
137,2023-06-04 12:51:00,27192.93,0.9998
138,2023-06-04 12:52:00,27193.97,0.9998
139,2023-06-04 12:53:00,27191.9,0.9998
140,2023-06-04 12:54:00,27184.82,0.9998
141,2023-06-04 12:55:00,27191.15,0.9998
142,2023-06-04 12:56:00,27195.85,0.9998
143,2023-06-04 12:57:00,27198.54,0.9999
144,2023-06-04 12:58:00,27198.54,0.9998
145,2023-06-04 12:59:00,27198.55,0.9999
146,2023-06-04 13:00:00,27188.16,0.9999
147,2023-06-04 13:01:00,27187.34,0.9999
148,2023-06-04 13:02:00,27193.7,0.9999
149,2023-06-04 13:03:00,27189.94,0.9999
150,2023-06-04 13:04:00,27177.1,0.9998
151,2023-06-04 13:05:00,27179.75,0.9999
152,2023-06-04 13:06:00,27181.21,0.9998
153,2023-06-04 13:07:00,27183.16,0.9998
154,2023-06-04 13:08:00,27193.03,0.9999
155,2023-06-04 13:09:00,27193.04,0.9999
156,2023-06-04 13:10:00,27193.29,0.9998
157,2023-06-04 13:11:00,27193.29,0.9998
158,2023-06-04 13:12:00,27193.29,0.9999
159,2023-06-04 13:13:00,27193.29,0.9998
160,2023-06-04 13:14:00,27194.39,0.9999
161,2023-06-04 13:15:00,27194.82,0.9999
162,2023-06-04 13:16:00,27189.11,0.9999
163,2023-06-04 13:17:00,27182.0,0.9998
164,2023-06-04 13:18:00,27180.67,0.9998
165,2023-06-04 13:19:00,27176.68,0.9999
166,2023-06-04 13:20:00,27183.87,0.9999
167,2023-06-04 13:21:00,27183.88,0.9998
168,2023-06-04 13:22:00,27189.33,0.9999
169,2023-06-04 13:23:00,27189.64,0.9999
170,2023-06-04 13:24:00,27181.07,0.9998
171,2023-06-04 13:25:00,27181.07,0.9999
172,2023-06-04 13:26:00,27179.03,0.9999
173,2023-06-04 13:27:00,27168.5,0.9998
174,2023-06-04 13:28:00,27160.11,0.9998
175,2023-06-04 13:29:00,27166.33,0.9999
176,2023-06-04 13:30:00,27166.78,0.9998
177,2023-06-04 13:31:00,27166.88,0.9998
178,2023-06-04 13:32:00,27178.2,0.9999
179,2023-06-04 13:33:00,27178.22,0.9999
180,2023-06-04 13:34:00,27178.21,0.9998
181,2023-06-04 13:35:00,27189.53,0.9998
182,2023-06-04 13:36:00,27189.52,0.9998
183,2023-06-04 13:37:00,27189.52,0.9998
184,2023-06-04 13:38:00,27190.82,0.9999
185,2023-06-04 13:39:00,27192.7,0.9998
186,2023-06-04 13:40:00,27204.26,0.9998
187,2023-06-04 13:41:00,27203.57,0.9998
188,2023-06-04 13:42:00,27200.84,0.9999
189,2023-06-04 13:43:00,27215.58,0.9999
190,2023-06-04 13:44:00,27216.03,0.9998
191,2023-06-04 13:45:00,27213.29,0.9998
192,2023-06-04 13:46:00,27212.72,0.9999
193,2023-06-04 13:47:00,27211.91,0.9999
194,2023-06-04 13:48:00,27211.91,0.9999
195,2023-06-04 13:49:00,27211.91,0.9999
196,2023-06-04 13:50:00,27211.91,0.9998
197,2023-06-04 13:51:00,27211.9,0.9998
198,2023-06-04 13:52:00,27209.84,0.9998
199,2023-06-04 13:53:00,27210.64,0.9998
200,2023-06-04 13:54:00,27210.1,0.9998
201,2023-06-04 13:55:00,27210.1,0.9998
202,2023-06-04 13:56:00,27210.1,0.9999
203,2023-06-04 13:57:00,27210.1,0.9999
204,2023-06-04 13:58:00,27210.11,0.9999
205,2023-06-04 13:59:00,27210.1,0.9999
206,2023-06-04 14:00:00,27213.73,0.9998
207,2023-06-04 14:01:00,27213.77,0.9998
208,2023-06-04 14:02:00,27215.0,0.9998
209,2023-06-04 14:03:00,27215.02,0.9998
210,2023-06-04 14:04:00,27214.97,0.9998
211,2023-06-04 14:05:00,27211.36,0.9998
212,2023-06-04 14:06:00,27211.35,0.9998
213,2023-06-04 14:07:00,27211.44,0.9998
214,2023-06-04 14:08:00,27211.44,0.9998
215,2023-06-04 14:09:00,27211.38,0.9998
216,2023-06-04 14:10:00,27211.28,0.9999
217,2023-06-04 14:11:00,27210.48,0.9999
218,2023-06-04 14:12:00,27206.6,0.9998
219,2023-06-04 14:13:00,27206.6,0.9998
220,2023-06-04 14:14:00,27206.6,0.9998
221,2023-06-04 14:15:00,27211.09,0.9999
222,2023-06-04 14:16:00,27211.09,0.9998
223,2023-06-04 14:17:00,27211.81,0.9998
224,2023-06-04 14:18:00,27211.81,0.9998
225,2023-06-04 14:19:00,27211.81,0.9999
226,2023-06-04 14:20:00,27211.8,0.9999
227,2023-06-04 14:21:00,27211.81,0.9998
228,2023-06-04 14:22:00,27212.51,0.9999
229,2023-06-04 14:23:00,27212.52,0.9999
230,2023-06-04 14:24:00,27218.0,0.9998
231,2023-06-04 14:25:00,27225.99,0.9999
232,2023-06-04 14:26:00,27222.01,0.9998
233,2023-06-04 14:27:00,27218.45,0.9999
234,2023-06-04 14:28:00,27219.81,0.9998
235,2023-06-04 14:29:00,27222.55,0.9999
236,2023-06-04 14:30:00,27227.9,0.9999
237,2023-06-04 14:31:00,27227.9,0.9999
238,2023-06-04 14:32:00,27218.46,0.9998
239,2023-06-04 14:33:00,27220.56,0.9999
240,2023-06-04 14:34:00,27220.56,0.9999
241,2023-06-04 14:35:00,27220.55,0.9999
242,2023-06-04 14:36:00,27228.59,0.9998
243,2023-06-04 14:37:00,27231.48,0.9998
244,2023-06-04 14:38:00,27231.48,0.9999
245,2023-06-04 14:39:00,27231.28,0.9999
246,2023-06-04 14:40:00,27231.39,0.9998
247,2023-06-04 14:41:00,27243.09,0.9998
248,2023-06-04 14:42:00,27250.59,0.9999
249,2023-06-04 14:43:00,27251.59,0.9999
250,2023-06-04 14:44:00,27253.83,0.9998
251,2023-06-04 14:45:00,27253.15,0.9998
252,2023-06-04 14:46:00,27240.11,0.9998
253,2023-06-04 14:47:00,27239.31,0.9999
254,2023-06-04 14:48:00,27246.12,0.9999
255,2023-06-04 14:49:00,27240.92,0.9999
256,2023-06-04 14:50:00,27243.89,0.9999
257,2023-06-04 14:51:00,27243.88,0.9998
258,2023-06-04 14:52:00,27266.21,0.9999
259,2023-06-04 14:53:00,27265.31,0.9999
260,2023-06-04 14:54:00,27289.78,0.9998
261,2023-06-04 14:55:00,27271.56,0.9998
262,2023-06-04 14:56:00,27264.45,0.9999
263,2023-06-04 14:57:00,27266.25,0.9999
264,2023-06-04 14:58:00,27260.23,0.9998
265,2023-06-04 14:59:00,27245.46,0.9999
266,2023-06-04 15:00:00,27235.81,0.9998
267,2023-06-04 15:01:00,27229.8,0.9999
268,2023-06-04 15:02:00,27220.02,0.9998
269,2023-06-04 15:03:00,27206.21,0.9998
270,2023-06-04 15:04:00,27183.11,0.9998
271,2023-06-04 15:05:00,27198.4,0.9998
272,2023-06-04 15:06:00,27201.35,0.9999
273,2023-06-04 15:07:00,27204.21,0.9998
274,2023-06-04 15:08:00,27197.22,0.9999
275,2023-06-04 15:09:00,27203.28,0.9998
276,2023-06-04 15:10:00,27203.26,0.9999
277,2023-06-04 15:11:00,27213.98,0.9998
278,2023-06-04 15:12:00,27202.74,0.9999
279,2023-06-04 15:13:00,27215.67,0.9998
280,2023-06-04 15:14:00,27217.6,0.9998
281,2023-06-04 15:15:00,27216.87,0.9998
282,2023-06-04 15:16:00,27211.75,0.9998
283,2023-06-04 15:17:00,27215.35,0.9998
284,2023-06-04 15:18:00,27218.46,0.9999
285,2023-06-04 15:19:00,27217.6,0.9999
286,2023-06-04 15:20:00,27223.37,0.9999
287,2023-06-04 15:21:00,27227.85,0.9998
288,2023-06-04 15:22:00,27229.5,0.9999
289,2023-06-04 15:23:00,27236.54,0.9999
