,Time,ETHUSDT,BCHUSDT
115,2023-06-04 12:47:00,1903.34,116.3
116,2023-06-04 12:48:00,1903.34,116.3
117,2023-06-04 12:49:00,1903.33,116.3
118,2023-06-04 12:50:00,1903.34,116.3
119,2023-06-04 12:51:00,1902.59,116.3
120,2023-06-04 12:52:00,1902.66,116.3
121,2023-06-04 12:53:00,1902.85,116.4
122,2023-06-04 12:54:00,1902.59,116.4
123,2023-06-04 12:55:00,1902.68,116.3
124,2023-06-04 12:56:00,1902.92,116.3
125,2023-06-04 12:57:00,1902.78,116.3
126,2023-06-04 12:58:00,1902.92,116.3
127,2023-06-04 12:59:00,1903.08,116.3
128,2023-06-04 13:00:00,1902.34,116.4
129,2023-06-04 13:01:00,1902.26,116.3
130,2023-06-04 13:02:00,1902.86,116.3
131,2023-06-04 13:03:00,1903.01,116.4
132,2023-06-04 13:04:00,1902.93,116.3
133,2023-06-04 13:05:00,1902.86,116.3
134,2023-06-04 13:06:00,1902.87,116.3
135,2023-06-04 13:07:00,1903.08,116.3
136,2023-06-04 13:08:00,1903.31,116.3
137,2023-06-04 13:09:00,1903.34,116.3
138,2023-06-04 13:10:00,1903.34,116.3
139,2023-06-04 13:11:00,1903.54,116.4
140,2023-06-04 13:12:00,1903.54,116.4
141,2023-06-04 13:13:00,1903.52,116.3
142,2023-06-04 13:14:00,1903.52,116.3
143,2023-06-04 13:15:00,1903.3,116.4
144,2023-06-04 13:16:00,1902.86,116.3
145,2023-06-04 13:17:00,1902.85,116.4
146,2023-06-04 13:18:00,1902.85,116.3
147,2023-06-04 13:19:00,1902.86,116.3
148,2023-06-04 13:20:00,1902.86,116.3
149,2023-06-04 13:21:00,1902.85,116.3
150,2023-06-04 13:22:00,1903.29,116.3
151,2023-06-04 13:23:00,1903.29,116.3
152,2023-06-04 13:24:00,1902.21,116.3
153,2023-06-04 13:25:00,1902.21,116.3
154,2023-06-04 13:26:00,1902.21,116.4
155,2023-06-04 13:27:00,1901.59,116.4
156,2023-06-04 13:28:00,1901.6,116.3
157,2023-06-04 13:29:00,1901.8,116.4
158,2023-06-04 13:30:00,1901.79,116.3
159,2023-06-04 13:31:00,1901.41,116.3
160,2023-06-04 13:32:00,1902.26,116.3
161,2023-06-04 13:33:00,1902.6,116.4
162,2023-06-04 13:34:00,1902.62,116.4
163,2023-06-04 13:35:00,1904.04,116.4
164,2023-06-04 13:36:00,1904.17,116.5
165,2023-06-04 13:37:00,1904.16,116.5
166,2023-06-04 13:38:00,1904.16,116.5
167,2023-06-04 13:39:00,1903.98,116.4
168,2023-06-04 13:40:00,1904.78,116.4
169,2023-06-04 13:41:00,1904.49,116.4
170,2023-06-04 13:42:00,1904.54,116.3
171,2023-06-04 13:43:00,1904.6,116.4
172,2023-06-04 13:44:00,1904.41,116.4
173,2023-06-04 13:45:00,1904.56,116.4
174,2023-06-04 13:46:00,1904.39,116.5
175,2023-06-04 13:47:00,1904.37,116.5
176,2023-06-04 13:48:00,1904.31,116.4
177,2023-06-04 13:49:00,1904.3,116.4
178,2023-06-04 13:50:00,1904.3,116.3
179,2023-06-04 13:51:00,1904.31,116.4
180,2023-06-04 13:52:00,1904.24,116.3
181,2023-06-04 13:53:00,1904.2,116.3
182,2023-06-04 13:54:00,1904.19,116.3
183,2023-06-04 13:55:00,1904.2,116.4
184,2023-06-04 13:56:00,1904.2,116.3
185,2023-06-04 13:57:00,1904.23,116.4
186,2023-06-04 13:58:00,1904.28,116.4
187,2023-06-04 13:59:00,1904.43,116.4
188,2023-06-04 14:00:00,1904.47,116.5
189,2023-06-04 14:01:00,1904.48,116.4
190,2023-06-04 14:02:00,1904.39,116.5
191,2023-06-04 14:03:00,1904.39,116.4
192,2023-06-04 14:04:00,1904.02,116.5
193,2023-06-04 14:05:00,1903.77,116.4
194,2023-06-04 14:06:00,1903.61,116.4
195,2023-06-04 14:07:00,1903.94,116.5
196,2023-06-04 14:08:00,1903.74,116.5
197,2023-06-04 14:09:00,1903.73,116.5
198,2023-06-04 14:10:00,1903.83,116.4
199,2023-06-04 14:11:00,1903.82,116.5
200,2023-06-04 14:12:00,1903.41,116.4
201,2023-06-04 14:13:00,1903.41,116.4
202,2023-06-04 14:14:00,1903.41,116.5
203,2023-06-04 14:15:00,1903.75,116.4
204,2023-06-04 14:16:00,1903.75,116.5
205,2023-06-04 14:17:00,1903.65,116.4
206,2023-06-04 14:18:00,1903.62,116.5
207,2023-06-04 14:19:00,1903.58,116.5
208,2023-06-04 14:20:00,1903.5,116.5
209,2023-06-04 14:21:00,1903.45,116.4
210,2023-06-04 14:22:00,1903.43,116.5
211,2023-06-04 14:23:00,1903.21,116.5
212,2023-06-04 14:24:00,1905.01,116.5
213,2023-06-04 14:25:00,1905.25,116.5
214,2023-06-04 14:26:00,1904.46,116.5
215,2023-06-04 14:27:00,1904.27,116.5
216,2023-06-04 14:28:00,1904.48,116.5
217,2023-06-04 14:29:00,1904.51,116.5
218,2023-06-04 14:30:00,1905.51,116.5
219,2023-06-04 14:31:00,1906.44,116.5
220,2023-06-04 14:32:00,1904.81,116.6
221,2023-06-04 14:33:00,1906.02,116.7
222,2023-06-04 14:34:00,1906.01,116.7
223,2023-06-04 14:35:00,1906.01,116.8
224,2023-06-04 14:36:00,1906.11,116.7
225,2023-06-04 14:37:00,1906.51,116.7
226,2023-06-04 14:38:00,1906.56,116.7
227,2023-06-04 14:39:00,1906.56,116.6
228,2023-06-04 14:40:00,1906.56,116.7
229,2023-06-04 14:41:00,1907.51,116.7
230,2023-06-04 14:42:00,1907.47,116.6
231,2023-06-04 14:43:00,1906.95,116.7
232,2023-06-04 14:44:00,1907.06,116.7
233,2023-06-04 14:45:00,1907.3,116.6
234,2023-06-04 14:46:00,1906.83,116.6
235,2023-06-04 14:47:00,1907.01,116.5
236,2023-06-04 14:48:00,1907.0,116.4
237,2023-06-04 14:49:00,1906.83,116.4
238,2023-06-04 14:50:00,1906.78,116.4
239,2023-06-04 14:51:00,1906.78,116.5
240,2023-06-04 14:52:00,1907.4,116.5
